"","NAICS_TITLE","A_MEAN","category"
"1","Cross-industry","83,580","Other Industries"
"2","Cross-industry","95,820","Other Industries"
"3","Cross-industry","105,510","Other Industries"
"4","Cross-industry","115,240","Other Industries"
"5","Cross-industry","115,240","Other Industries"
"6","Cross-industry","82,160","Other Industries"
"7","Cross-industry","95,920","Other Industries"
"8","Cross-industry, private ownership only","83,700","Other Industries"
"9","Cross-industry, private ownership only","96,570","Other Industries"
"10","Cross-industry, private ownership only","109,110","Other Industries"
"11","Cross-industry, private ownership only","116,600","Other Industries"
"12","Cross-industry, private ownership only","116,600","Other Industries"
"13","Cross-industry, private ownership only","87,150","Other Industries"
"14","Cross-industry, private ownership only","103,760","Other Industries"
"15","Agriculture, Forestry, Fishing and Hunting","89,600","Other Industries"
"16","Mining, Quarrying, and Oil and Gas Extraction","131,610","Other Industries"
"17","Mining, Quarrying, and Oil and Gas Extraction","113,620","Other Industries"
"18","Mining, Quarrying, and Oil and Gas Extraction","116,740","Other Industries"
"19","Mining, Quarrying, and Oil and Gas Extraction","116,740","Other Industries"
"20","Utilities","119,740","Other Industries"
"21","Utilities","113,150","Other Industries"
"22","Utilities","102,610","Other Industries"
"23","Utilities","102,610","Other Industries"
"24","Utilities","65,370","Other Industries"
"25","Utilities","106,540","Other Industries"
"26","Construction","86,120","Manufacturing and Construction"
"27","Construction","70,820","Manufacturing and Construction"
"28","Construction","85,290","Manufacturing and Construction"
"29","Construction","85,290","Manufacturing and Construction"
"30","Wholesale Trade","88,620","Retail and Wholesale Trade"
"31","Wholesale Trade","90,810","Retail and Wholesale Trade"
"32","Wholesale Trade","116,670","Retail and Wholesale Trade"
"33","Wholesale Trade","111,380","Retail and Wholesale Trade"
"34","Wholesale Trade","111,380","Retail and Wholesale Trade"
"35","Wholesale Trade","113,530","Retail and Wholesale Trade"
"36","Information","89,660","Other Industries"
"37","Information","101,140","Other Industries"
"38","Information","105,420","Other Industries"
"39","Information","80,500","Other Industries"
"40","Finance and Insurance","85,160","Financial Services, Insurance, and Real Estate"
"41","Finance and Insurance","91,040","Financial Services, Insurance, and Real Estate"
"42","Finance and Insurance","103,930","Financial Services, Insurance, and Real Estate"
"43","Finance and Insurance","117,720","Financial Services, Insurance, and Real Estate"
"44","Finance and Insurance","117,720","Financial Services, Insurance, and Real Estate"
"45","Finance and Insurance","71,540","Financial Services, Insurance, and Real Estate"
"46","Real Estate and Rental and Leasing","83,230","Financial Services, Insurance, and Real Estate"
"47","Real Estate and Rental and Leasing","99,410","Financial Services, Insurance, and Real Estate"
"48","Real Estate and Rental and Leasing","99,410","Financial Services, Insurance, and Real Estate"
"49","Professional, Scientific, and Technical Services","101,540","Professional, Scientific, and Technical Services"
"50","Professional, Scientific, and Technical Services","105,540","Professional, Scientific, and Technical Services"
"51","Professional, Scientific, and Technical Services","115,850","Professional, Scientific, and Technical Services"
"52","Professional, Scientific, and Technical Services","113,450","Professional, Scientific, and Technical Services"
"53","Professional, Scientific, and Technical Services","113,450","Professional, Scientific, and Technical Services"
"54","Professional, Scientific, and Technical Services","86,390","Professional, Scientific, and Technical Services"
"55","Professional, Scientific, and Technical Services","105,180","Professional, Scientific, and Technical Services"
"56","Management of Companies and Enterprises","88,050","Other Industries"
"57","Management of Companies and Enterprises","99,730","Other Industries"
"58","Management of Companies and Enterprises","106,820","Other Industries"
"59","Management of Companies and Enterprises","113,920","Other Industries"
"60","Management of Companies and Enterprises","113,920","Other Industries"
"61","Management of Companies and Enterprises","92,780","Other Industries"
"62","Management of Companies and Enterprises","107,290","Other Industries"
"63","Administrative and Support and Waste Management and Remediation Services","68,080","Other Industries"
"64","Administrative and Support and Waste Management and Remediation Services","72,300","Other Industries"
"65","Administrative and Support and Waste Management and Remediation Services","93,300","Other Industries"
"66","Administrative and Support and Waste Management and Remediation Services","97,460","Other Industries"
"67","Administrative and Support and Waste Management and Remediation Services","97,460","Other Industries"
"68","Administrative and Support and Waste Management and Remediation Services","87,350","Other Industries"
"69","Administrative and Support and Waste Management and Remediation Services","76,360","Other Industries"
"70","Educational Services","65,460","Other Industries"
"71","Educational Services","81,200","Other Industries"
"72","Educational Services","83,480","Other Industries"
"73","Educational Services","84,070","Other Industries"
"74","Educational Services","84,070","Other Industries"
"75","Educational Services","74,230","Other Industries"
"76","Educational Services","69,120","Other Industries"
"77","Health Care and Social Assistance","63,340","Healthcare and Social Assistance"
"78","Health Care and Social Assistance","77,800","Healthcare and Social Assistance"
"79","Health Care and Social Assistance","90,380","Healthcare and Social Assistance"
"80","Health Care and Social Assistance","89,380","Healthcare and Social Assistance"
"81","Health Care and Social Assistance","89,380","Healthcare and Social Assistance"
"82","Health Care and Social Assistance","78,690","Healthcare and Social Assistance"
"83","Health Care and Social Assistance","95,730","Healthcare and Social Assistance"
"84","Arts, Entertainment, and Recreation","69,940","Accommodation, Food Services, and Entertainment"
"85","Arts, Entertainment, and Recreation","78,910","Accommodation, Food Services, and Entertainment"
"86","Arts, Entertainment, and Recreation","85,180","Accommodation, Food Services, and Entertainment"
"87","Arts, Entertainment, and Recreation","85,180","Accommodation, Food Services, and Entertainment"
"88","Arts, Entertainment, and Recreation","55,040","Accommodation, Food Services, and Entertainment"
"89","Accommodation and Food Services","72,030","Accommodation, Food Services, and Entertainment"
"90","Accommodation and Food Services","84,770","Accommodation, Food Services, and Entertainment"
"91","Accommodation and Food Services","84,770","Accommodation, Food Services, and Entertainment"
"92","Other Services (except Public Administration)","54,650","Other Industries"
"93","Other Services (except Public Administration)","81,450","Other Industries"
"94","Other Services (except Public Administration)","95,320","Other Industries"
"95","Other Services (except Public Administration)","89,050","Other Industries"
"96","Other Services (except Public Administration)","89,050","Other Industries"
"97","Other Services (except Public Administration)","62,100","Other Industries"
"98","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","87,220","Healthcare and Social Assistance"
"99","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","95,590","Healthcare and Social Assistance"
"100","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","103,520","Healthcare and Social Assistance"
"101","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","82,840","Healthcare and Social Assistance"
"102","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","82,840","Healthcare and Social Assistance"
"103","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","67,920","Healthcare and Social Assistance"
"104","Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","87,000","Healthcare and Social Assistance"
"105","Support Activities for Agriculture and Forestry","89,600","Other Industries"
"106","Oil and Gas Extraction","141,240","Other Industries"
"107","Oil and Gas Extraction","115,170","Other Industries"
"108","Oil and Gas Extraction","130,950","Other Industries"
"109","Oil and Gas Extraction","130,950","Other Industries"
"110","Oil and Gas Extraction","141,240","Other Industries"
"111","Oil and Gas Extraction","115,170","Other Industries"
