OCC_TITLE,A_MEAN
Financial Specialists,"88,120"
Financial Specialists,"81,070"
Financial Specialists,"78,330"
Financial Specialists,"54,070"
Financial Specialists,"90,750"
Financial Specialists,"96,000"
Financial Specialists,"103,540"
Financial Specialists,"84,140"
Financial Specialists,"115,850"
Financial Specialists,"65,060"
Financial Specialists,"77,570"
Financial Specialists,"77,630"
Financial Specialists,"97,740"
Financial Specialists,"95,010"
Financial Specialists,"77,450"
Financial Specialists,"78,940"
Financial Specialists,"54,500"
Financial Specialists,"65,250"
Financial Specialists,"65,840"
Financial Specialists,"69,190"
Financial Specialists,"101,260"
Financial Specialists,"99,710"
Financial Specialists,"83,790"
Financial Specialists,"83,090"
Financial Specialists,"65,730"
Financial Specialists,"72,640"
Financial Specialists,"71,650"
Financial Specialists,"73,710"
Financial Specialists,"78,140"
Financial Specialists,"86,880"
Financial Specialists,"103,280"
Financial Specialists,"72,530"
Financial Specialists,"111,970"
Financial Specialists,"78,270"
Financial Specialists,"74,320"
Financial Specialists,"86,080"
Financial Specialists,"75,220"
Financial Specialists,"91,000"
Financial Specialists,"78,250"
Financial Specialists,"88,180"
Financial Specialists,"74,460"
Financial Specialists,"75,150"
Financial Specialists,"72,210"
Financial Specialists,"67,620"
Financial Specialists,"71,790"
Financial Specialists,"78,820"
Financial Specialists,"89,840"
Financial Specialists,"84,370"
Financial Specialists,"73,280"
Financial Specialists,"58,380"
Financial Specialists,"64,080"
Operations Research Analysts,"109,160"
Operations Research Analysts,"86,890"
Operations Research Analysts,"68,660"
Operations Research Analysts,"73,160"
Operations Research Analysts,"101,720"
Operations Research Analysts,"97,280"
Operations Research Analysts,"98,070"
Operations Research Analysts,"97,600"
Operations Research Analysts,"102,250"
Operations Research Analysts,"80,550"
Operations Research Analysts,"81,780"
Operations Research Analysts,"107,920"
Operations Research Analysts,"72,820"
Operations Research Analysts,"99,480"
Operations Research Analysts,"83,050"
Operations Research Analysts,"70,150"
Operations Research Analysts,"90,060"
Operations Research Analysts,"69,010"
Operations Research Analysts,"72,620"
Operations Research Analysts,"81,930"
Operations Research Analysts,"107,260"
Operations Research Analysts,"88,010"
Operations Research Analysts,"90,000"
Operations Research Analysts,"96,210"
Operations Research Analysts,"84,400"
Operations Research Analysts,"79,340"
Operations Research Analysts,"70,140"
Operations Research Analysts,"98,390"
Operations Research Analysts,"86,070"
Operations Research Analysts,"93,310"
Operations Research Analysts,"102,450"
Operations Research Analysts,"92,700"
Operations Research Analysts,"108,260"
Operations Research Analysts,"95,190"
Operations Research Analysts,"88,710"
Operations Research Analysts,"93,490"
Operations Research Analysts,"91,140"
Operations Research Analysts,"92,820"
Operations Research Analysts,"79,260"
Operations Research Analysts,"81,610"
Operations Research Analysts,"83,380"
Operations Research Analysts,"70,010"
Operations Research Analysts,"105,240"
Operations Research Analysts,"76,210"
Operations Research Analysts,"78,050"
Operations Research Analysts,"121,460"
Operations Research Analysts,"91,380"
Operations Research Analysts,"66,380"
Operations Research Analysts,"87,290"
Statisticians,"75,230"
Statisticians,"103,360"
Statisticians,"85,060"
Statisticians,"136,210"
Statisticians,"92,240"
Statisticians,"128,630"
Statisticians,"111,650"
Statisticians,"114,100"
Statisticians,"83,820"
Statisticians,"107,920"
Statisticians,"74,350"
Statisticians,"100,770"
Statisticians,"105,560"
Statisticians,"95,190"
Statisticians,"85,640"
Statisticians,"99,560"
Statisticians,"73,960"
Statisticians,"71,140"
Statisticians,"81,260"
Statisticians,"122,340"
Statisticians,"110,080"
Statisticians,"104,740"
Statisticians,"91,270"
Statisticians,"78,990"
Statisticians,"80,830"
Statisticians,"72,800"
Statisticians,"96,060"
Statisticians,"110,680"
Statisticians,"62,700"
Statisticians,"137,840"
Statisticians,"119,140"
Statisticians,"73,230"
Statisticians,"84,800"
Statisticians,"59,870"
Statisticians,"85,190"
Statisticians,"89,540"
Statisticians,"73,390"
Statisticians,"86,590"
Statisticians,"88,630"
Statisticians,"82,010"
Statisticians,"81,270"
Statisticians,"98,930"
Statisticians,"109,570"
Statisticians,"65,270"
Statisticians,"88,480"
Statisticians,"131,680"
Data Scientists,"91,570"
Data Scientists,"103,810"
Data Scientists,"104,220"
Data Scientists,"147,390"
Data Scientists,"116,560"
Data Scientists,"110,220"
