NAICS_TITLE,A_MEAN
Cross-industry,"83,580"
Cross-industry,"95,820"
Cross-industry,"105,510"
Cross-industry,"115,240"
Cross-industry,"115,240"
Cross-industry,"82,160"
Cross-industry,"95,920"
"Cross-industry, private ownership only","83,700"
"Cross-industry, private ownership only","96,570"
"Cross-industry, private ownership only","109,110"
"Cross-industry, private ownership only","116,600"
"Cross-industry, private ownership only","116,600"
"Cross-industry, private ownership only","87,150"
"Cross-industry, private ownership only","103,760"
"Agriculture, Forestry, Fishing and Hunting","89,600"
"Mining, Quarrying, and Oil and Gas Extraction","131,610"
"Mining, Quarrying, and Oil and Gas Extraction","113,620"
"Mining, Quarrying, and Oil and Gas Extraction","116,740"
"Mining, Quarrying, and Oil and Gas Extraction","116,740"
Utilities,"119,740"
Utilities,"113,150"
Utilities,"102,610"
Utilities,"102,610"
Utilities,"65,370"
Utilities,"106,540"
Construction,"86,120"
Construction,"70,820"
Construction,"85,290"
Construction,"85,290"
Wholesale Trade,"88,620"
Wholesale Trade,"90,810"
Wholesale Trade,"116,670"
Wholesale Trade,"111,380"
Wholesale Trade,"111,380"
Wholesale Trade,"113,530"
Information,"89,660"
Information,"101,140"
Information,"105,420"
Information,*
Information,*
Information,"80,500"
Finance and Insurance,"85,160"
Finance and Insurance,"91,040"
Finance and Insurance,"103,930"
Finance and Insurance,"117,720"
Finance and Insurance,"117,720"
Finance and Insurance,"71,540"
Real Estate and Rental and Leasing,"83,230"
Real Estate and Rental and Leasing,"99,410"
Real Estate and Rental and Leasing,"99,410"
"Professional, Scientific, and Technical Services","101,540"
"Professional, Scientific, and Technical Services","105,540"
"Professional, Scientific, and Technical Services","115,850"
"Professional, Scientific, and Technical Services","113,450"
"Professional, Scientific, and Technical Services","113,450"
"Professional, Scientific, and Technical Services","86,390"
"Professional, Scientific, and Technical Services","105,180"
Management of Companies and Enterprises,"88,050"
Management of Companies and Enterprises,"99,730"
Management of Companies and Enterprises,"106,820"
Management of Companies and Enterprises,"113,920"
Management of Companies and Enterprises,"113,920"
Management of Companies and Enterprises,"92,780"
Management of Companies and Enterprises,"107,290"
Administrative and Support and Waste Management and Remediation Services,"68,080"
Administrative and Support and Waste Management and Remediation Services,"72,300"
Administrative and Support and Waste Management and Remediation Services,"93,300"
Administrative and Support and Waste Management and Remediation Services,"97,460"
Administrative and Support and Waste Management and Remediation Services,"97,460"
Administrative and Support and Waste Management and Remediation Services,"87,350"
Administrative and Support and Waste Management and Remediation Services,"76,360"
Educational Services,"65,460"
Educational Services,"81,200"
Educational Services,"83,480"
Educational Services,"84,070"
Educational Services,"84,070"
Educational Services,"74,230"
Educational Services,"69,120"
Health Care and Social Assistance,"63,340"
