PRIM_STATE,mean_annual_salary
AL,"88,120"
AK,"81,070"
AZ,"78,330"
AR,"54,070"
CA,"90,750"
CO,"96,000"
CT,"103,540"
DE,"84,140"
DC,"115,850"
FL,"65,060"
GA,"77,570"
HI,"77,630"
ID,"97,740"
IL,"95,010"
IN,"77,450"
IA,"78,940"
KS,"54,500"
KY,"65,250"
LA,"65,840"
ME,"69,190"
MD,"101,260"
MA,"99,710"
MI,"83,790"
MN,"83,090"
MS,"65,730"
MO,"72,640"
MT,"71,650"
NE,"73,710"
NV,"78,140"
NH,"86,880"
NJ,"103,280"
NM,"72,530"
NY,"111,970"
NC,"78,270"
ND,"74,320"
OH,"86,080"
OK,"75,220"
OR,"91,000"
PA,"78,250"
RI,"88,180"
SC,"74,460"
SD,"75,150"
TN,"72,210"
TX,"67,620"
UT,"71,790"
VT,"78,820"
VA,"89,840"
WA,"84,370"
WV,"73,280"
WI,"58,380"
WY,"64,080"
AL,"109,160"
AK,"86,890"
AZ,"68,660"
AR,"73,160"
CA,"101,720"
CO,"97,280"
CT,"98,070"
DE,"97,600"
DC,"102,250"
FL,"80,550"
GA,"81,780"
HI,"107,920"
ID,"72,820"
IL,"99,480"
IN,"83,050"
IA,"70,150"
KS,"90,060"
KY,"69,010"
LA,"72,620"
ME,"81,930"
MD,"107,260"
MA,"88,010"
MI,"90,000"
MN,"96,210"
MS,"84,400"
MO,"79,340"
MT,"70,140"
NE,"98,390"
NV,"86,070"
NH,"93,310"
NJ,"102,450"
NM,"92,700"
NY,"108,260"
NC,"95,190"
ND,"88,710"
OH,"93,490"
OK,"91,140"
OR,"92,820"
PA,"79,260"
RI,"81,610"
SC,"83,380"
TN,"70,010"
TX,"105,240"
UT,"76,210"
VT,"78,050"
VA,"121,460"
WA,"91,380"
WV,"66,380"
WI,"87,290"
AL,"75,230"
AK,"103,360"
AZ,"85,060"
CA,"136,210"
CO,"92,240"
CT,"128,630"
DE,"111,650"
DC,"114,100"
FL,"83,820"
GA,"107,920"
HI,"74,350"
ID,"100,770"
IL,"105,560"
IN,"95,190"
IA,"85,640"
KS,"99,560"
KY,"73,960"
LA,"71,140"
ME,"81,260"
MD,"122,340"
MA,"110,080"
MI,"104,740"
MN,"91,270"
MO,"78,990"
NE,"80,830"
NV,"72,800"
NH,"96,060"
NJ,"110,680"
NM,"62,700"
NY,"137,840"
NC,"119,140"
ND,"73,230"
OH,"84,800"
OK,"59,870"
OR,"85,190"
PA,"89,540"
SC,"73,390"
TN,"86,590"
TX,"88,630"
UT,"82,010"
VT,"81,270"
VA,"98,930"
WA,"109,570"
WV,"65,270"
WI,"88,480"
WY,"131,680"
AL,"91,570"
AK,"103,810"
AZ,"104,220"
CA,"147,390"
CO,"116,560"
CT,"110,220"
DE,"133,320"
DC,"110,190"
FL,"100,780"
GA,"106,400"
HI,"103,470"
ID,"95,520"
IL,"109,870"
IN,"78,890"
IA,"94,190"
KS,"94,920"
KY,"86,470"
LA,"71,710"
ME,"101,080"
MD,"118,960"
MA,"120,340"
MI,"92,820"
MN,"111,740"
MS,"65,940"
MO,"81,860"
MT,"74,720"
NE,"89,340"
NV,"96,870"
NH,"87,300"
NJ,"129,980"
NM,"87,090"
NY,"128,200"
NC,"119,960"
ND,"93,340"
OH,"92,080"
OK,"87,810"
OR,"111,090"
PA,"95,940"
RI,"117,570"
SC,"100,550"
SD,"108,430"
TN,"112,070"
TX,"102,230"
UT,"88,660"
VT,*
VA,"133,990"
WA,"140,780"
WV,"72,550"
WI,"90,760"
WY,"128,860"
AL,"49,470"
AK,"73,020"
CA,"103,300"
CT,*
GA,"79,610"
IL,"79,540"
KY,"50,380"
MD,"81,010"
MA,"81,320"
NJ,"68,300"
NY,"87,960"
OH,"115,400"
TN,"76,880"
TX,"65,290"
UT,"46,850"
VA,"122,500"
WA,"69,410"
AL,"73,910"
AK,"88,930"
AZ,"85,600"
AR,"79,350"
CA,"113,250"
CO,"99,370"
CT,"108,500"
DC,"114,940"
FL,"62,270"
GA,"77,300"
HI,"85,550"
ID,"74,920"
IL,"83,660"
IN,"72,310"
IA,"73,990"
KS,"73,620"
KY,"72,260"
LA,"71,350"
MD,"114,530"
MA,"108,420"
MI,"85,960"
MN,"83,710"
MS,"78,630"
MO,"67,100"
MT,"72,540"
NE,"84,670"
NV,"71,280"
NH,"78,830"
NJ,"91,000"
NM,"79,230"
NY,"114,130"
NC,"92,740"
ND,"81,500"
OH,"85,620"
OK,"66,710"
OR,"82,780"
PA,"87,940"
RI,"92,510"
SC,"83,860"
SD,"67,960"
TN,"80,360"
TX,"83,000"
UT,"87,660"
VT,"66,740"
VA,"95,240"
WA,"91,980"
WV,"75,570"
WI,"84,360"
WY,"75,320"
PR,"47,330"
GU,"40,350"
PR,"72,620"
PR,"42,020"
PR,"64,910"
PR,"65,020"
TX,"64,310"
OH,"79,750"
GA,"73,170"
NY,"90,370"
NM,"84,990"
LA,"64,880"
PA,"95,910"
TX,"72,800"
AK,"83,830"
MI,"74,560"
WI,"64,010"
NC,"69,400"
GA,"68,400"
GA,"84,390"
NJ,"71,260"
GA,"61,070"
TX,"69,460"
CA,"89,180"
MD,"89,730"
LA,"66,240"
MI,"85,310"
TX,"78,020"
WV,"73,990"
WA,"67,460"
MT,"69,820"
AL,"84,050"
ND,"81,970"
IN,"65,370"
ID,"88,330"
CO,"98,970"
WA,"87,470"
TX,"69,570"
GA,"59,330"
NY,"77,530"
MD,"113,790"
OH,"73,410"
FL,"53,150"
IL,"64,720"
IA,"69,670"
PA,"92,500"
IL,"70,240"
WV,"62,200"
SC,"83,580"
NC,"93,030"
VA,"68,370"
TN,"75,290"
IL,"99,510"
CA,"55,380"
OH,"78,820"
TN,"81,320"
OH,"83,740"
ID,"129,080"
TX,"49,600"
CO,"90,520"
MO,"74,090"
SC,"60,010"
GA,"42,940"
OH,"87,980"
TX,"63,430"
FL,"82,630"
TX,"68,940"
IA,"77,530"
OH,"99,360"
FL,"56,870"
CO,"98,690"
IA,"83,730"
MI,"90,940"
IA,"65,660"
NC,"80,870"
KY,"75,080"
TX,"62,660"
PA,"70,840"
OR,"85,490"
IN,"58,500"
ND,"65,980"
NC,"83,730"
MI,"63,820"
CO,"93,550"
CA,"73,430"
FL,"59,310"
GA,"62,760"
MI,"82,310"
CO,"94,270"
WI,"57,660"
NC,"64,880"
NC,"58,110"
SC,"65,880"
MS,"71,820"
MD,"79,390"
LA,"50,540"
PA,"79,300"
LA,"60,000"
TX,"69,280"
WV,"70,120"
AL,"108,610"
ID,"115,010"
IN,"81,550"
IA,"71,440"
MS,"62,770"
FL,"65,780"
MO,"52,100"
TN,"50,970"
MI,"63,930"
MO,"72,860"
WA,"76,210"
TX,"71,510"
TN,"75,340"
TN,"71,330"
LA,"63,750"
LA,"56,480"
FL,"57,780"
PA,"71,020"
MI,"76,290"
TX,"63,360"
NV,"77,830"
KS,"53,820"
OK,"71,160"
PA,"73,680"
KY,"72,380"
NE,"72,930"
AR,"66,570"
TX,"52,230"
CA,"93,030"
KY,"70,630"
TX,"70,360"
GA,"58,440"
WI,"60,440"
TX,"55,790"
OR,"85,640"
TN,"71,050"
CA,*
FL,"63,060"
TX,"83,730"
WI,"55,470"
MN,"85,100"
CA,"69,350"
LA,"52,020"
AL,"85,370"
WV,"73,130"
CA,"76,940"
FL,"79,550"
TN,"73,380"
LA,"73,710"
NY,"115,360"
FL,"66,250"
FL,"63,720"
UT,"80,570"
OK,"82,040"
WA,"85,710"
NE,"72,830"
FL,"65,020"
CA,"83,470"
FL,"77,540"
FL,"71,430"
WV,"82,780"
FL,"72,030"
IL,"82,760"
PA,"85,310"
AZ,"80,090"
PA,"69,580"
OR,"92,080"
FL,"59,140"
UT,"61,510"
CO,"74,760"
NC,"70,300"
SD,"74,830"
PA,"73,340"
CA,"106,250"
NV,"83,810"
VA,"71,790"
CA,"66,150"
VA,"64,400"
NY,"71,200"
IL,"66,600"
CA,"84,890"
MI,"79,690"
